Event,Region,Filename,human_s,abc,Completed,event,record,coarse_s,refined_s
2014_Fontana_LABasin,美国南加州洛杉矶盆地,CI_FMP_20140115_Fontana.v,,C,1,2014_Fontana_LABasin,CI_FMP_20140115_Fontana.v,139.25693359375,143.25660888671874
2010_ElMayorCucapah_LABasin,美国南加州洛杉矶盆地,CI_GR2_20100404_ElMayorCucapah.v,161.696072851451,B,1,2010_ElMayorCucapah_LABasin,CI_GR2_20100404_ElMayorCucapah.v,175.27775390625,165.97119873046876
2014_Fontana_LABasin,美国南加州洛杉矶盆地,CI_GR2_20140115_Fontana.v,,C,1,2014_Fontana_LABasin,CI_GR2_20140115_Fontana.v,119.61962890625,121.41924072265626
2010_ElMayorCucapah_LABasin,美国南加州洛杉矶盆地,CI_HLL_20100404_ElMayorCucapah.v,163.312605992086,A,1,2010_ElMayorCucapah_LABasin,CI_HLL_20100404_ElMayorCucapah.v,169.1379296875,167.20029296875
2014_Fontana_LABasin,美国南加州洛杉矶盆地,CI_HLL_20140115_Fontana.v,108.126211679613,B,1,2014_Fontana_LABasin,CI_HLL_20140115_Fontana.v,118.164931640625,114.60474365234376
2010_ElMayorCucapah_LABasin,美国南加州洛杉矶盆地,CI_LAF_20100404_ElMayorCucapah.v,161.696072851451,B,1,2010_ElMayorCucapah_LABasin,CI_LAF_20100404_ElMayorCucapah.v,168.86251953125,165.55940063476564
2014_Fontana_LABasin,美国南加州洛杉矶盆地,CI_LAF_20140115_Fontana.v,134.639588100687,A,1,2014_Fontana_LABasin,CI_LAF_20140115_Fontana.v,143.475615234375,135.98815307617187
2010_ElMayorCucapah_LABasin,美国南加州洛杉矶盆地,CI_LCG_20100404_ElMayorCucapah.v,169.550369948776,A,1,2010_ElMayorCucapah_LABasin,CI_LCG_20100404_ElMayorCucapah.v,166.89857421875,169.15982421875
2014_Fontana_LABasin,美国南加州洛杉矶盆地,CI_LCG_20140115_Fontana.v,136.699084668192,A,1,2014_Fontana_LABasin,CI_LCG_20140115_Fontana.v,149.711845703125,134.79282287597655
2010_ElMayorCucapah_LABasin,美国南加州洛杉矶盆地,CI_LGB_20100404_ElMayorCucapah.v,156.573705179283,B,1,2010_ElMayorCucapah_LABasin,CI_LGB_20100404_ElMayorCucapah.v,174.71552734375,165.81329711914063
2014_Fontana_LABasin,美国南加州洛杉矶盆地,CI_LGB_20140115_Fontana.v,119.193363844394,A,1,2014_Fontana_LABasin,CI_LGB_20140115_Fontana.v,116.317724609375,122.07140380859374
2010_ElMayorCucapah_LABasin,美国南加州洛杉矶盆地,CI_LLS_20100404_ElMayorCucapah.v,146.014697569248,B,1,2010_ElMayorCucapah_LABasin,CI_LLS_20100404_ElMayorCucapah.v,158.87171875,155.26494140625
2014_Fontana_LABasin,美国南加州洛杉矶盆地,CI_LLS_20140115_Fontana.v,115.760869565217,A,1,2014_Fontana_LABasin,CI_LLS_20140115_Fontana.v,129.0244140625,115.81360107421877
2010_ElMayorCucapah_LABasin,美国南加州洛杉矶盆地,CI_LTP_20100404_ElMayorCucapah.v,,C,1,2010_ElMayorCucapah_LABasin,CI_LTP_20100404_ElMayorCucapah.v,190.7483203125,192.390078125
2014_Fontana_LABasin,美国南加州洛杉矶盆地,CI_LTP_20140115_Fontana.v,125.54347826087,A,1,2014_Fontana_LABasin,CI_LTP_20140115_Fontana.v,128.0303125,128.21678955078124
2010_ElMayorCucapah_LABasin,美国南加州洛杉矶盆地,CI_MLS_20100404_ElMayorCucapah.v,140.927077444884,A,1,2010_ElMayorCucapah_LABasin,CI_MLS_20100404_ElMayorCucapah.v,137.091826171875,142.78955322265625
2014_Fontana_LABasin,美国南加州洛杉矶盆地,CI_MLS_20140115_Fontana.v,,C,1,2014_Fontana_LABasin,CI_MLS_20140115_Fontana.v,87.02056640625,87.4392431640625
2010_ElMayorCucapah_LABasin,美国南加州洛杉矶盆地,CI_OLI_20100404_ElMayorCucapah.v,144.621513944223,A,1,2010_ElMayorCucapah_LABasin,CI_OLI_20100404_ElMayorCucapah.v,135.541298828125,145.138662109375
2014_Fontana_LABasin,美国南加州洛杉矶盆地,CI_OLI_20140115_Fontana.v,,C,1,2014_Fontana_LABasin,CI_OLI_20140115_Fontana.v,108.483447265625,102.72996826171877
2010_ElMayorCucapah_LABasin,美国南加州洛杉矶盆地,CI_PDR_20100404_ElMayorCucapah.v,165.793966989186,B,1,2010_ElMayorCucapah_LABasin,CI_PDR_20100404_ElMayorCucapah.v,193.61833984375,197.4897900390625
2014_Fontana_LABasin,美国南加州洛杉矶盆地,CI_PDR_20140115_Fontana.v,141.504576659039,B,1,2014_Fontana_LABasin,CI_PDR_20140115_Fontana.v,157.110302734375,155.75430419921875
2010_ElMayorCucapah_LABasin,美国南加州洛杉矶盆地,CI_PDU_20100404_ElMayorCucapah.v,148.036425725669,A,1,2010_ElMayorCucapah_LABasin,CI_PDU_20100404_ElMayorCucapah.v,156.985673828125,148.94131591796875
2014_Fontana_LABasin,美国南加州洛杉矶盆地,CI_PDU_20140115_Fontana.v,,C,1,2014_Fontana_LABasin,CI_PDU_20140115_Fontana.v,87.578525390625,86.50333251953126
2010_ElMayorCucapah_LABasin,美国南加州洛杉矶盆地,CI_PLS_20100404_ElMayorCucapah.v,139.909553420011,A,1,2010_ElMayorCucapah_LABasin,CI_PLS_20100404_ElMayorCucapah.v,136.832431640625,139.6547705078125
2014_Fontana_LABasin,美国南加州洛杉矶盆地,CI_PLS_20140115_Fontana.v,,C,1,2014_Fontana_LABasin,CI_PLS_20140115_Fontana.v,90.8975,92.4599267578125
2010_ElMayorCucapah_LABasin,美国南加州洛杉矶盆地,CI_PSR_20100404_ElMayorCucapah.v,145.304496300512,A,1,2010_ElMayorCucapah_LABasin,CI_PSR_20100404_ElMayorCucapah.v,130.213994140625,142.71496826171875
2014_Fontana_LABasin,美国南加州洛杉矶盆地,CI_PSR_20140115_Fontana.v,,C,1,2014_Fontana_LABasin,CI_PSR_20140115_Fontana.v,91.161103515625,92.97458984375
2010_ElMayorCucapah_LABasin,美国南加州洛杉矶盆地,CI_RIO_20100404_ElMayorCucapah.v,154.833239118146,A,1,2010_ElMayorCucapah_LABasin,CI_RIO_20100404_ElMayorCucapah.v,152.5966015625,157.60457275390624
2014_Fontana_LABasin,美国南加州洛杉矶盆地,CI_RIO_20140115_Fontana.v,98.5983981693364,B,1,2014_Fontana_LABasin,CI_RIO_20140115_Fontana.v,100.01458984375,100.3602685546875
2010_ElMayorCucapah_LABasin,美国南加州洛杉矶盆地,CI_RPV_20100404_ElMayorCucapah.v,153.158793397837,A,1,2010_ElMayorCucapah_LABasin,CI_RPV_20100404_ElMayorCucapah.v,156.6346484375,156.20261840820314
2014_Fontana_LABasin,美国南加州洛杉矶盆地,CI_RPV_20140115_Fontana.v,109.218973284354,B,1,2014_Fontana_LABasin,CI_RPV_20140115_Fontana.v,127.15865234375,130.0682861328125
2010_ElMayorCucapah_LABasin,美国南加州洛杉矶盆地,CI_RUS_20100404_ElMayorCucapah.v,158.224985867722,B,1,2010_ElMayorCucapah_LABasin,CI_RUS_20100404_ElMayorCucapah.v,166.9178125,163.3046728515625
2014_Fontana_LABasin,美国南加州洛杉矶盆地,CI_RUS_20140115_Fontana.v,109.754004576659,A,1,2014_Fontana_LABasin,CI_RUS_20140115_Fontana.v,110.6078125,110.57314331054688
2014_Fontana_LABasin,美国南加州洛杉矶盆地,CI_SMF2_20140115_Fontana.v,127.431350114417,B,1,2014_Fontana_LABasin,CI_SMF2_20140115_Fontana.v,139.92427734375,132.948095703125
2010_ElMayorCucapah_LABasin,美国南加州洛杉矶盆地,CI_SMS_20100404_ElMayorCucapah.v,175.183719615602,B,1,2010_ElMayorCucapah_LABasin,CI_SMS_20100404_ElMayorCucapah.v,187.455625,181.9728210449219
2010_ElMayorCucapah_LABasin,美国南加州洛杉矶盆地,CI_SPF_20100404_ElMayorCucapah.v,174.672737620945,B,1,2010_ElMayorCucapah_LABasin,CI_SPF_20100404_ElMayorCucapah.v,171.914765625,176.95379150390625
2014_Fontana_LABasin,美国南加州洛杉矶盆地,CI_SPF_20140115_Fontana.v,,C,1,2014_Fontana_LABasin,CI_SPF_20140115_Fontana.v,136.274716796875,130.57934936523438
2010_ElMayorCucapah_LABasin,美国南加州洛杉矶盆地,CI_SRN_20100404_ElMayorCucapah.v,141.548093340922,A,1,2010_ElMayorCucapah_LABasin,CI_SRN_20100404_ElMayorCucapah.v,139.867431640625,144.27369873046874
2014_Fontana_LABasin,美国南加州洛杉矶盆地,CI_SRN_20140115_Fontana.v,102.37414187643,B,1,2014_Fontana_LABasin,CI_SRN_20140115_Fontana.v,97.912724609375,103.2691455078125
2010_ElMayorCucapah_LABasin,美国南加州洛杉矶盆地,CI_STG_20100404_ElMayorCucapah.v,139.840637450199,B,1,2010_ElMayorCucapah_LABasin,CI_STG_20100404_ElMayorCucapah.v,151.22158203125,139.6894689941406
2014_Fontana_LABasin,美国南加州洛杉矶盆地,CI_STG_20140115_Fontana.v,,C,1,2014_Fontana_LABasin,CI_STG_20140115_Fontana.v,106.26111328125,102.92112548828123
2010_ElMayorCucapah_LABasin,美国南加州洛杉矶盆地,CI_STS_20100404_ElMayorCucapah.v,153.500284575982,B,1,2010_ElMayorCucapah_LABasin,CI_STS_20100404_ElMayorCucapah.v,160.982353515625,160.55843017578124
2014_Fontana_LABasin,美国南加州洛杉矶盆地,CI_STS_20140115_Fontana.v,134.242250287026,A,1,2014_Fontana_LABasin,CI_STS_20140115_Fontana.v,140.73572265625,137.50450805664062
2010_ElMayorCucapah_LABasin,美国南加州洛杉矶盆地,CI_USC_20100404_ElMayorCucapah.v,165.793966989186,A,1,2010_ElMayorCucapah_LABasin,CI_USC_20100404_ElMayorCucapah.v,173.9335546875,164.4123193359375
2014_Fontana_LABasin,美国南加州洛杉矶盆地,CI_USC_20140115_Fontana.v,123.483981693364,A,1,2014_Fontana_LABasin,CI_USC_20140115_Fontana.v,137.012783203125,126.41164794921876
2010_ElMayorCucapah_LABasin,美国南加州洛杉矶盆地,CI_WLT_20100404_ElMayorCucapah.v,152.119841718485,A,1,2010_ElMayorCucapah_LABasin,CI_WLT_20100404_ElMayorCucapah.v,150.500625,155.5773486328125
2014_Fontana_LABasin,美国南加州洛杉矶盆地,CI_WLT_20140115_Fontana.v,,C,1,2014_Fontana_LABasin,CI_WLT_20140115_Fontana.v,105.315380859375,102.84226196289065
2010_ElMayorCucapah_LABasin,美国南加州洛杉矶盆地,CI_WSS_20100404_ElMayorCucapah.v,177.746158224246,A,1,2010_ElMayorCucapah_LABasin,CI_WSS_20100404_ElMayorCucapah.v,169.627421875,175.7805712890625
2014_Fontana_LABasin,美国南加州洛杉矶盆地,CI_WSS_20140115_Fontana.v,121.424485125858,B,1,2014_Fontana_LABasin,CI_WSS_20140115_Fontana.v,132.497177734375,130.39043823242187
2010_ElMayorCucapah_LABasin,美国南加州洛杉矶盆地,CI_WTT_20100404_ElMayorCucapah.v,166.365178066704,A,1,2010_ElMayorCucapah_LABasin,CI_WTT_20100404_ElMayorCucapah.v,162.85591796875,167.25639404296874
2014_Fontana_LABasin,美国南加州洛杉矶盆地,CI_WTT2_20140115_Fontana.v,117.991990846682,A,1,2014_Fontana_LABasin,CI_WTT2_20140115_Fontana.v,142.054833984375,132.21999938964845
IT-2012-0008,意大利北部波河平原,IT-2012-0008_IT_ALF.v,47.9600170648464,A,1,IT-2012-0008,IT-2012-0008_IT_ALF.v,48.9441064453125,47.9186083984375
IT-2012-0008,意大利北部波河平原,IT-2012-0008_IT_ARG.v,38.6135819625638,B,1,IT-2012-0008,IT-2012-0008_IT_ARG.v,42.3872998046875,45.05791259765625
IT-2012-0008,意大利北部波河平原,IT-2012-0008_IT_CSP.v,45.6675974025974,B,1,IT-2012-0008,IT-2012-0008_IT_CSP.v,42.8362353515625,40.61380737304688
IT-2012-0008,意大利北部波河平原,IT-2012-0008_IT_CST.v,53.2261284820921,A,1,IT-2012-0008,IT-2012-0008_IT_CST.v,47.02642578125,50.55868408203125
IT-2012-0008,意大利北部波河平原,IT-2012-0008_IT_MDC.v,31.2056253521127,A,1,IT-2012-0008,IT-2012-0008_IT_MDC.v,30.55504638671875,30.50041259765625
IT-2012-0008,意大利北部波河平原,IT-2012-0008_IT_MDN.v,33.3628502552467,A,1,IT-2012-0008,IT-2012-0008_IT_MDN.v,31.0257470703125,35.95552490234375
IT-2012-0008,意大利北部波河平原,IT-2012-0008_IT_MRN.v,,C,1,IT-2012-0008,IT-2012-0008_IT_MRN.v,33.0034130859375,35.315908203125
IT-2012-0008,意大利北部波河平原,IT-2012-0008_IT_NVL.v,40.8443519044912,B,1,IT-2012-0008,IT-2012-0008_IT_NVL.v,49.870009765625,51.56405517578125
IT-2012-0008,意大利北部波河平原,IT-2012-0008_IT_ZPP.v,43.9409154929577,A,1,IT-2012-0008,IT-2012-0008_IT_ZPP.v,44.038896484375,42.52039672851563
IT-2012-0008,意大利北部波河平原,IT-2012-0008_IV_ASOL.v,69.3669228587635,B,1,IT-2012-0008,IT-2012-0008_IV_ASOL.v,62.61224609375,67.4488623046875
IT-2012-0008,意大利北部波河平原,IT-2012-0008_IV_SANR.v,38.9675070901872,B,1,IT-2012-0008,IT-2012-0008_IV_SANR.v,40.8159033203125,37.12384765625
IT-2012-0011,意大利北部波河平原,IT-2012-0011_BA_MIRE.v,,C,1,IT-2012-0011,IT-2012-0011_BA_MIRE.v,16.9863232421875,14.7637841796875
IT-2012-0011,意大利北部波河平原,IT-2012-0011_IT_ALF.v,40.3910011344299,A,1,IT-2012-0011,IT-2012-0011_IT_ALF.v,44.5158154296875,40.86629150390625
IT-2012-0011,意大利北部波河平原,IT-2012-0011_IT_ARG.v,34.5106324446965,B,1,IT-2012-0011,IT-2012-0011_IT_ARG.v,43.927568359375,42.78136962890625
IT-2012-0011,意大利北部波河平原,IT-2012-0011_IT_CSP.v,37.5800794100964,B,1,IT-2012-0011,IT-2012-0011_IT_CSP.v,45.6275439453125,43.14417724609375
IT-2012-0011,意大利北部波河平原,IT-2012-0011_IT_CST.v,53.8121724333522,A,1,IT-2012-0011,IT-2012-0011_IT_CST.v,47.6771240234375,50.2160986328125
IT-2012-0011,意大利北部波河平原,IT-2012-0011_IT_MDC.v,46.291511627907,A,1,IT-2012-0011,IT-2012-0011_IT_MDC.v,39.9846142578125,47.429287109375
IT-2012-0011,意大利北部波河平原,IT-2012-0011_IT_MDN.v,24.5032637299771,B,1,IT-2012-0011,IT-2012-0011_IT_MDN.v,33.14526611328125,28.08191162109375
IT-2012-0011,意大利北部波河平原,IT-2012-0011_IT_MOG0.v,23.5486563380282,A,1,IT-2012-0011,IT-2012-0011_IT_MOG0.v,21.57777587890625,24.17029052734375
IT-2012-0011,意大利北部波河平原,IT-2012-0011_IT_MRN.v,,C,1,IT-2012-0011,IT-2012-0011_IT_MRN.v,18.450325927734376,16.633900146484375
IT-2012-0011,意大利北部波河平原,IT-2012-0011_IT_NVL.v,52.6434373227453,B,1,IT-2012-0011,IT-2012-0011_IT_NVL.v,55.22623046875,53.99725952148437
IT-2012-0011,意大利北部波河平原,IT-2012-0011_IT_RAV0.v,39.3739328400683,B,1,IT-2012-0011,IT-2012-0011_IT_RAV0.v,39.3132568359375,41.37415771484375
IT-2012-0011,意大利北部波河平原,IT-2012-0011_IT_ZPP.v,53.7237663074305,A,1,IT-2012-0011,IT-2012-0011_IT_ZPP.v,57.005888671875,54.348626708984376
IT-2012-0011,意大利北部波河平原,IT-2012-0011_IV_ASOL.v,65.8503658536585,B,1,IT-2012-0011,IT-2012-0011_IV_ASOL.v,63.1099951171875,63.838759765625
IT-2012-0011,意大利北部波河平原,IT-2012-0011_IV_MILN.v,103.276984036488,B,1,IT-2012-0011,IT-2012-0011_IV_MILN.v,115.631201171875,114.57645751953125
IT-2012-0011,意大利北部波河平原,IT-2012-0011_IV_SANR.v,36.3868774815655,A,1,IT-2012-0011,IT-2012-0011_IV_SANR.v,37.18432373046875,38.57802490234375
2015_Gorkha_201504250645,尼泊尔加德满都盆地,NP_201504250645_PTN.v,40.7132309859155,B,1,2015_Gorkha_201504250645,NP_201504250645_PTN.v,45.2089892578125,41.48232177734375
2015_Gorkha_201504250645,尼泊尔加德满都盆地,NP_201504250645_THM.v,46.6959971830986,B,1,2015_Gorkha_201504250645,NP_201504250645_THM.v,45.595458984375,43.68025634765625
2015_Gorkha_201504250645,尼泊尔加德满都盆地,NP_201504250645_TVU.v,39.5978,B,1,2015_Gorkha_201504250645,NP_201504250645_TVU.v,43.163251953125,42.96994262695313
2015_Gorkha_201504260709,尼泊尔加德满都盆地,NP_201504260709_PTN.v,41.9300647887324,A,1,2015_Gorkha_201504260709,NP_201504260709_PTN.v,51.8653564453125,44.2327001953125
2015_Gorkha_201504260709,尼泊尔加德满都盆地,NP_201504260709_THM.v,40.4090225352113,A,1,2015_Gorkha_201504260709,NP_201504260709_THM.v,46.3916748046875,41.59051513671875
2015_Gorkha_201504260709,尼泊尔加德满都盆地,NP_201504260709_TVU.v,42.4370788732394,B,1,2015_Gorkha_201504260709,NP_201504260709_TVU.v,48.8711474609375,45.946708984375
2016_Kaikoura_Wellington,新西兰惠灵顿地区,NZ_2016_Kaikoura_FKPS_20.v,104.767823263693,B,1,2016_Kaikoura_Wellington,NZ_2016_Kaikoura_FKPS_20.v,107.37146484375,104.58404052734376
2016_Kaikoura_Wellington,新西兰惠灵顿地区,NZ_2016_Kaikoura_LHUS_20.v,111.799090140845,B,1,2016_Kaikoura_Wellington,NZ_2016_Kaikoura_LHUS_20.v,109.404853515625,116.551806640625
2016_Kaikoura_Wellington,新西兰惠灵顿地区,NZ_2016_Kaikoura_LIRS_20.v,110.278014084507,B,1,2016_Kaikoura_Wellington,NZ_2016_Kaikoura_LIRS_20.v,113.99310546875,119.13533203125
2016_Kaikoura_Wellington,新西兰惠灵顿地区,NZ_2016_Kaikoura_LRSS_20.v,111.799090140845,B,1,2016_Kaikoura_Wellington,NZ_2016_Kaikoura_LRSS_20.v,111.6862890625,120.38938720703123
2016_Kaikoura_Wellington,新西兰惠灵顿地区,NZ_2016_Kaikoura_PGMS_20.v,110.278014084507,B,1,2016_Kaikoura_Wellington,NZ_2016_Kaikoura_PGMS_20.v,108.16912109375,118.436787109375
2016_Kaikoura_Wellington,新西兰惠灵顿地区,NZ_2016_Kaikoura_PIPS_20.v,103.365750283126,B,1,2016_Kaikoura_Wellington,NZ_2016_Kaikoura_PIPS_20.v,108.40380859375,106.56770751953124
2016_Kaikoura_Wellington,新西兰惠灵顿地区,NZ_2016_Kaikoura_POTS_20.v,103.17965915493,B,1,2016_Kaikoura_Wellington,NZ_2016_Kaikoura_POTS_20.v,106.726806640625,107.83466796875
2016_Kaikoura_Wellington,新西兰惠灵顿地区,NZ_2016_Kaikoura_PVCS_20.v,108.587929577465,B,1,2016_Kaikoura_Wellington,NZ_2016_Kaikoura_PVCS_20.v,110.860107421875,114.16002197265624
2016_Kaikoura_Wellington,新西兰惠灵顿地区,NZ_2016_Kaikoura_TEPS_20.v,104.767823263693,B,1,2016_Kaikoura_Wellington,NZ_2016_Kaikoura_TEPS_20.v,103.105712890625,105.51181396484375
2016_Kaikoura_Wellington,新西兰惠灵顿地区,NZ_2016_Kaikoura_TFSS_20.v,103.195880520951,B,1,2016_Kaikoura_Wellington,NZ_2016_Kaikoura_TFSS_20.v,101.41578125,107.8568603515625
2016_Kaikoura_Wellington,新西兰惠灵顿地区,NZ_2016_Kaikoura_VUWS_20.v,105.06444790487,A,1,2016_Kaikoura_Wellington,NZ_2016_Kaikoura_VUWS_20.v,106.399609375,106.68851318359376
2016_Kaikoura_Wellington,新西兰惠灵顿地区,NZ_2016_Kaikoura_WEL_20.v,102.057580463015,B,1,2016_Kaikoura_Wellington,NZ_2016_Kaikoura_WEL_20.v,105.740673828125,105.6129150390625
2016_Kaikoura_Wellington,新西兰惠灵顿地区,NZ_2016_Kaikoura_WEMS_20.v,106.292334839074,B,1,2016_Kaikoura_Wellington,NZ_2016_Kaikoura_WEMS_20.v,104.365654296875,107.41501220703124
1999_ChiChi_Aftershock_1803,中国台湾西部平原,TW_1999_ChiChi_Aftershock_1803_CHY024.v,10.0105549263873,A,1,1999_ChiChi_Aftershock_1803,TW_1999_ChiChi_Aftershock_1803_CHY024.v,10.7867822265625,12.16849609375
1999_ChiChi_Aftershock_1803,中国台湾西部平原,TW_1999_ChiChi_Aftershock_1803_CHY025.v,15.275399207248,A,1,1999_ChiChi_Aftershock_1803,TW_1999_ChiChi_Aftershock_1803_CHY025.v,15.975830078125,17.2745849609375
1999_ChiChi_Aftershock_1803,中国台湾西部平原,TW_1999_ChiChi_Aftershock_1803_CHY026.v,22.1876415628539,A,1,1999_ChiChi_Aftershock_1803,TW_1999_ChiChi_Aftershock_1803_CHY026.v,24.1968115234375,21.96043334960937
1999_ChiChi_Aftershock_1803,中国台湾西部平原,TW_1999_ChiChi_Aftershock_1803_CHY027.v,22.3882134767837,B,1,1999_ChiChi_Aftershock_1803,TW_1999_ChiChi_Aftershock_1803_CHY027.v,37.7023486328125,25.759639892578125
1999_ChiChi_Aftershock_1803,中国台湾西部平原,TW_1999_ChiChi_Aftershock_1803_CHY028.v,9.20721971830986,A,1,1999_ChiChi_Aftershock_1803,TW_1999_ChiChi_Aftershock_1803_CHY028.v,11.233248291015624,10.87848388671875
1999_ChiChi_Aftershock_1803,中国台湾西部平原,TW_1999_ChiChi_Aftershock_1803_CHY029.v,11.0005633802817,B,1,1999_ChiChi_Aftershock_1803,TW_1999_ChiChi_Aftershock_1803_CHY029.v,19.1778076171875,14.739918212890624
1999_ChiChi_Aftershock_1803,中国台湾西部平原,TW_1999_ChiChi_Aftershock_1803_CHY032.v,15.5064071347678,B,1,1999_ChiChi_Aftershock_1803,TW_1999_ChiChi_Aftershock_1803_CHY032.v,21.8203515625,31.3174169921875
1999_ChiChi_Aftershock_1803,中国台湾西部平原,TW_1999_ChiChi_Aftershock_1803_CHY033.v,18.4423980747452,B,1,1999_ChiChi_Aftershock_1803,TW_1999_ChiChi_Aftershock_1803_CHY033.v,23.97560546875,23.05256103515625
1999_ChiChi_Aftershock_1803,中国台湾西部平原,TW_1999_ChiChi_Aftershock_1803_CHY039.v,,C,1,1999_ChiChi_Aftershock_1803,TW_1999_ChiChi_Aftershock_1803_CHY039.v,15.638238525390625,9.8932763671875
1999_ChiChi_Aftershock_1803,中国台湾西部平原,TW_1999_ChiChi_Aftershock_1803_CHY076.v,20.6463335220838,B,1,1999_ChiChi_Aftershock_1803,TW_1999_ChiChi_Aftershock_1803_CHY076.v,26.22675537109375,21.35252075195313
1999_ChiChi_Aftershock_1803,中国台湾西部平原,TW_1999_ChiChi_Aftershock_1803_CHY082.v,14.1213754963131,B,1,1999_ChiChi_Aftershock_1803,TW_1999_ChiChi_Aftershock_1803_CHY082.v,14.595479736328125,18.60320556640625
1999_ChiChi_Aftershock_1803,中国台湾西部平原,TW_1999_ChiChi_Aftershock_1803_CHY093.v,33.4024197183099,A,1,1999_ChiChi_Aftershock_1803,TW_1999_ChiChi_Aftershock_1803_CHY093.v,37.28451171875,29.984586181640623
1999_ChiChi_Aftershock_1803,中国台湾西部平原,TW_1999_ChiChi_Aftershock_1803_CHY094.v,25.2967778405879,A,1,1999_ChiChi_Aftershock_1803,TW_1999_ChiChi_Aftershock_1803_CHY094.v,22.26928955078125,21.00507080078125
1999_ChiChi_Aftershock_1803,中国台湾西部平原,TW_1999_ChiChi_Aftershock_1803_CHY101.v,13.3840345413364,A,1,1999_ChiChi_Aftershock_1803,TW_1999_ChiChi_Aftershock_1803_CHY101.v,14.4818017578125,14.499423828125
1999_ChiChi_Aftershock_1803,中国台湾西部平原,TW_1999_ChiChi_Aftershock_1803_CHY104.v,18.8485277463194,A,1,1999_ChiChi_Aftershock_1803,TW_1999_ChiChi_Aftershock_1803_CHY104.v,17.41033935546875,20.9328759765625
1999_ChiChi_Aftershock_1803,中国台湾西部平原,TW_1999_ChiChi_Aftershock_1803_TCU061.v,20.4034450704225,A,1,1999_ChiChi_Aftershock_1803,TW_1999_ChiChi_Aftershock_1803_TCU061.v,19.48032104492188,19.210062255859373
1999_ChiChi_Aftershock_1803,中国台湾西部平原,TW_1999_ChiChi_Aftershock_1803_TCU063.v,17.5846121177803,B,1,1999_ChiChi_Aftershock_1803,TW_1999_ChiChi_Aftershock_1803_TCU063.v,9.246172485351565,14.71923583984375
1999_ChiChi_Aftershock_1803,中国台湾西部平原,TW_1999_ChiChi_Aftershock_1803_TCU065.v,11.4453887323944,A,1,1999_ChiChi_Aftershock_1803,TW_1999_ChiChi_Aftershock_1803_TCU065.v,14.3259375,11.451280517578123
1999_ChiChi_Aftershock_1803,中国台湾西部平原,TW_1999_ChiChi_Aftershock_1803_TCU075.v,8.95748867497169,B,1,1999_ChiChi_Aftershock_1803,TW_1999_ChiChi_Aftershock_1803_TCU075.v,9.502100830078126,10.87224365234375
1999_ChiChi_Aftershock_1803,中国台湾西部平原,TW_1999_ChiChi_Aftershock_1803_TCU076.v,9.05001981879955,A,1,1999_ChiChi_Aftershock_1803,TW_1999_ChiChi_Aftershock_1803_TCU076.v,10.673514404296874,11.280673828125
