Index,Trace_Name,station_code,event_time,Subset,True_Time_s,Coarse_Pred_s,Final_Pred_s,Coarse_Error_s,Final_Error_s,Coarse_Abs_Error_s,Final_Abs_Error_s,station_lon,station_lat,event_lon,event_lat,Mw,depth_km,epicentral_distance_km,basin
30,acNGN0012206201031,NGN001,2022-06-20 10:31:00,holdout_evaluation,18.62199951,23.2382959,26.1545459,4.616296387,7.532546387,4.616296387,7.532546387,138.37,36.85,137.32,37.52,5.0,14,119.17,Niigata Basin
31,acNIG0132206201031,NIG013,2022-06-20 10:31:00,holdout_evaluation,20.31099976,29.76053223,32.90248535,9.449532471,12.5914856,9.449532471,12.5914856,138.88,37.76,137.32,37.52,5.0,14,139.93,Niigata Basin
32,acNIG0172206201031,NIG017,2022-06-20 10:31:00,holdout_evaluation,28.84399902,18.89130127,19.64494141,-9.952697754,-9.199057617,9.952697754,9.199057617,138.84,37.44,137.32,37.52,5.0,14,134.42,Niigata Basin
33,acNIG0192206201031,NIG019,2022-06-20 10:31:00,training,21.53399902,22.33687012,24.87249512,0.802871094,3.338496094,0.802871094,3.338496094,138.81,37.3,137.32,37.52,5.0,14,133.85,Niigata Basin
34,acNIG0242206201031,NIG024,2022-06-20 10:31:00,training,16.82300049,19.02829834,22.94184082,2.205297852,6.118840332,2.205297852,6.118840332,138.44,37.13,137.32,37.52,5.0,14,108.11,Niigata Basin
35,acNIG0282206201031,NIG028,2022-06-20 10:31:00,holdout_evaluation,27.99300049,22.84126709,23.92789551,-5.151733398,-4.06510498,5.151733398,4.06510498,138.89,37.43,137.32,37.52,5.0,14,138.91,Niigata Basin
36,acNGN0012305052158,NGN001,2023-05-05 21:58:00,training,39.54399902,35.6282666,37.34922852,-3.915732422,-2.194770508,3.915732422,2.194770508,138.37,36.85,137.24,37.52,5.9,14,124.78,Niigata Basin
37,acNGN0042305052158,NGN004,2023-05-05 21:58:00,training,26.17199951,27.10216309,25.95356567,0.930163574,-0.218433838,0.930163574,0.218433838,138.19,36.65,137.24,37.52,5.9,14,128.29,Niigata Basin
38,acNIG0092305052158,NIG009,2023-05-05 21:58:00,training,30.00699951,25.19074707,29.70859131,-4.816252441,-0.298408203,4.816252441,0.298408203,139.34,37.95,137.24,37.52,5.9,14,190.76,Niigata Basin
39,acNIG0112305052158,NIG011,2023-05-05 21:58:00,holdout_evaluation,39.85800049,55.70753906,47.50528076,15.84953857,7.647280273,15.84953857,7.647280273,139.15,37.8,137.24,37.52,5.9,14,170.99,Niigata Basin
40,acNIG0142305052158,NIG014,2023-05-05 21:58:00,training,44.53899902,44.58034668,45.71962402,0.041347656,1.180625,0.041347656,1.180625,138.96,37.64,137.24,37.52,5.9,14,152.15,Niigata Basin
41,acNIG0172305052158,NIG017,2023-05-05 21:58:00,training,38.52600098,33.07038574,35.77813477,-5.455615234,-2.747866211,5.455615234,2.747866211,138.84,37.44,137.24,37.52,5.9,14,141.46,Niigata Basin
42,acNGN0012401011606,NGN001,2024-01-01 16:06:00,training,22.17699951,19.30490479,22.37104736,-2.872094727,0.194047852,2.872094727,0.194047852,138.37,36.85,137.25,37.51,5.5,12,123.41,Niigata Basin
43,acNGN0042401011606,NGN004,2024-01-01 16:06:00,training,11.77800049,10.37312744,12.113479,-1.404873047,0.335478516,1.404873047,0.335478516,138.19,36.65,137.25,37.51,5.5,12,126.88,Niigata Basin
44,acNIG0142401011606,NIG014,2024-01-01 16:06:00,holdout_evaluation,23.085,27.56658447,25.05187012,4.481584473,1.966870117,4.481584473,1.966870117,138.96,37.64,137.25,37.51,5.5,12,151.39,Niigata Basin
45,acNIG0192401011606,NIG019,2024-01-01 16:06:00,training,35.88100098,35.97640869,36.10725586,0.095407715,0.226254883,0.095407715,0.226254883,138.81,37.3,137.25,37.51,5.5,12,139.76,Niigata Basin
46,acNIG0232401011606,NIG023,2024-01-01 16:06:00,training,23.77699951,22.8621167,23.57048828,-0.914882813,-0.20651123,0.914882813,0.20651123,138.65,37.01,137.25,37.51,5.5,12,135.8,Niigata Basin
47,acNIG0282401011606,NIG028,2024-01-01 16:06:00,holdout_evaluation,27.76199951,23.10461426,25.74556641,-4.657385254,-2.016433105,4.657385254,2.016433105,138.89,37.43,137.25,37.51,5.5,12,145.01,Niigata Basin
48,acNIG0092401011610,NIG009,2024-01-01 16:10:00,holdout_evaluation,60.5,53.19585938,53.12134888,-7.304140625,-7.378651123,7.304140625,7.378651123,139.34,37.95,137.27,37.49,7.6,16,189.11,Niigata Basin
49,acNIG0102401011610,NIG010,2024-01-01 16:10:00,training,57.51100098,55.12241211,54.62533813,-2.388588867,-2.885662842,2.388588867,2.885662842,139.01,37.91,137.27,37.49,7.6,16,160.05,Niigata Basin
50,acNIG0112401011610,NIG011,2024-01-01 16:10:00,training,69.69100098,62.86504883,66.36939453,-6.825952148,-3.321606445,6.825952148,3.321606445,139.15,37.8,137.27,37.49,7.6,16,169.07,Niigata Basin
51,acNIG0142401011610,NIG014,2024-01-01 16:10:00,holdout_evaluation,72.89799805,70.76833008,66.61256592,-2.129667969,-6.285432129,2.129667969,6.285432129,138.96,37.64,137.27,37.49,7.6,16,149.89,Niigata Basin
52,acNIG0162401011610,NIG016,2024-01-01 16:10:00,training,66.99899902,61.57741211,68.78026855,-5.421586914,1.781269531,5.421586914,1.781269531,138.77,37.65,137.27,37.49,7.6,16,133.39,Niigata Basin
53,acNIG0182401011610,NIG018,2024-01-01 16:10:00,training,53.22700195,52.94175781,54.12548828,-0.285244141,0.898486328,0.285244141,0.898486328,138.56,37.37,137.27,37.49,7.6,16,114.68,Niigata Basin
54,acNIG0242401011610,NIG024,2024-01-01 16:10:00,training,60.285,61.10296875,57.81396973,0.81796875,-2.471030273,0.81796875,2.471030273,138.44,37.13,137.27,37.49,7.6,16,110.95,Niigata Basin
55,acNIGH172401011610,NIGH17,2024-01-01 16:10:00,training,159.677998,159.4862305,159.567616,-0.191767578,-0.11038208,0.191767578,0.11038208,138.1,36.86,137.27,37.49,7.6,16,101.56,Niigata Basin
56,acNIG0172401011639,NIG017,2024-01-01 16:39:00,training,23.05300049,22.00834473,23.25009033,-1.044655762,0.197089844,1.044655762,0.197089844,138.84,37.44,137.44,37.55,5.2,13,124.11,Niigata Basin
57,acNIG0192401011639,NIG019,2024-01-01 16:39:00,training,37.24399902,36.51763672,36.28875366,-0.726362305,-0.955245361,0.726362305,0.955245361,138.81,37.3,137.44,37.55,5.2,13,124.13,Niigata Basin
58,acNIG0212401011639,NIG021,2024-01-01 16:39:00,holdout_evaluation,25.02600098,20.99083984,23.1598291,-4.035161133,-1.866171875,4.035161133,1.866171875,138.78,37.2,137.44,37.55,5.2,13,124.64,Niigata Basin
59,acNIG0282401011639,NIG028,2024-01-01 16:39:00,training,22.34699951,21.93106445,28.73892578,-0.415935059,6.39192627,0.415935059,6.39192627,138.89,37.43,137.44,37.55,5.2,13,128.62,Niigata Basin
60,acNGN0042401011656,NGN004,2024-01-01 16:56:00,training,21.09600098,16.68412109,16.47251831,-4.411879883,-4.623482666,4.411879883,4.623482666,138.19,36.65,136.86,37.26,5.8,14,136.26,Niigata Basin
61,acNGNH282401011656,NGNH28,2024-01-01 16:56:00,training,20.90399902,21.7734082,20.94561157,0.86940918,0.041612549,0.86940918,0.041612549,138.1,36.71,136.86,37.26,5.8,14,125.98,Niigata Basin
62,acNIG0132401011656,NIG013,2024-01-01 16:56:00,training,11.42599976,13.23555542,16.00775635,1.809555664,4.581756592,1.809555664,4.581756592,138.88,37.76,136.86,37.26,5.8,14,186.64,Niigata Basin
63,acNIG0142401011656,NIG014,2024-01-01 16:56:00,training,19.79900024,21.41512695,22.76885742,1.616126709,2.969857178,1.616126709,2.969857178,138.96,37.64,136.86,37.26,5.8,14,190.13,Niigata Basin
64,acNIG0192401011656,NIG019,2024-01-01 16:56:00,training,27.875,26.95329346,29.60982178,-0.921706543,1.734821777,0.921706543,1.734821777,138.81,37.3,136.86,37.26,5.8,14,172.58,Niigata Basin
65,acNIG0212401011656,NIG021,2024-01-01 16:56:00,training,27.955,26.14287109,29.060625,-1.812128906,1.105625,1.812128906,1.105625,138.78,37.2,136.86,37.26,5.8,14,170.11,Niigata Basin
66,acNIG0232401011656,NIG023,2024-01-01 16:56:00,training,16.57699951,16.48796143,19.93178711,-0.089038086,3.354787598,0.089038086,3.354787598,138.65,37.01,136.86,37.26,5.8,14,161.09,Niigata Basin
67,acNIG0282401011656,NIG028,2024-01-01 16:56:00,training,21.65800049,22.97400391,23.39843994,1.316003418,1.740439453,1.316003418,1.740439453,138.89,37.43,136.86,37.26,5.8,14,180.44,Niigata Basin
68,acNGN0052401011803,NGN005,2024-01-01 18:03:00,training,17.73300049,17.05008789,20.65212891,-0.682912598,2.919128418,0.682912598,2.919128418,137.86,36.7,137.41,37.59,5.5,14,106.7,Niigata Basin
69,acNIG0152401011803,NIG015,2024-01-01 18:03:00,training,21.91100098,22.36635498,22.52863281,0.455354004,0.617631836,0.455354004,0.617631836,139.19,37.69,137.41,37.59,5.5,14,157.12,Niigata Basin
70,acNIG0172401011803,NIG017,2024-01-01 18:03:00,training,34.955,31.78045898,35.45845459,-3.174541016,0.50345459,3.174541016,0.50345459,138.84,37.44,137.41,37.59,5.5,14,127.22,Niigata Basin
71,acNIG0192401011803,NIG019,2024-01-01 18:03:00,training,38.81199951,38.51820313,38.30293701,-0.293796387,-0.5090625,0.293796387,0.5090625,138.81,37.3,137.41,37.59,5.5,14,127.73,Niigata Basin
72,acNIG0282401011803,NIG028,2024-01-01 18:03:00,training,32.73199951,24.9724585,26.22552979,-7.759541016,-6.506469727,7.759541016,6.506469727,138.89,37.43,137.41,37.59,5.5,14,131.75,Niigata Basin
73,acNIGH132401011803,NIGH13,2024-01-01 18:03:00,holdout_evaluation,26.59800049,23.97078125,24.94062256,-2.627219238,-1.65737793,2.627219238,1.65737793,138.4,37.05,137.41,37.59,5.5,14,106.16,Niigata Basin
74,acNGN0042401011808,NGN004,2024-01-01 18:08:00,training,10.65699951,8.114636841,10.70517578,-2.542362671,0.04817627,2.542362671,0.04817627,138.19,36.65,137.38,37.58,5.8,14,125.9,Niigata Basin
75,acNGN0062401011808,NGN006,2024-01-01 18:08:00,training,27.355,25.85980957,27.83223877,-1.49519043,0.47723877,1.49519043,0.47723877,137.85,36.51,137.38,37.58,5.8,14,126.08,Niigata Basin
76,acNGNH272401011808,NGNH27,2024-01-01 18:08:00,training,28.87300049,27.83740479,28.51458984,-1.035595703,-0.358410645,1.035595703,0.358410645,138.05,36.58,137.38,37.58,5.8,14,126.08,Niigata Basin
77,acNIG0102401011808,NIG010,2024-01-01 18:08:00,training,31.06600098,31.69564941,32.48129883,0.629648438,1.415297852,0.629648438,1.415297852,139.01,37.91,137.38,37.58,5.8,14,147.94,Niigata Basin
78,acNIG0142401011808,NIG014,2024-01-01 18:08:00,holdout_evaluation,50.99100098,55.01757324,50.19633789,4.026572266,-0.794663086,4.026572266,0.794663086,138.96,37.64,137.38,37.58,5.8,14,139.34,Niigata Basin
79,acNIG0172401011808,NIG017,2024-01-01 18:08:00,holdout_evaluation,38.95,34.2644458,39.08342285,-4.685554199,0.133422852,4.685554199,0.133422852,138.84,37.44,137.38,37.58,5.8,14,129.72,Niigata Basin
80,acNIG0232401011808,NIG023,2024-01-01 18:08:00,training,26.77600098,24.99518555,26.57286377,-1.78081543,-0.203137207,1.78081543,0.203137207,138.65,37.01,137.38,37.58,5.8,14,128.99,Niigata Basin
81,acNIGH172401011808,NIGH17,2024-01-01 18:08:00,training,35.18,31.08912109,35.57685547,-4.090878906,0.396855469,4.090878906,0.396855469,138.1,36.86,137.38,37.58,5.8,14,102.34,Niigata Basin
82,acNIG0172401021017,NIG017,2024-01-02 10:17:00,training,34.495,30.70458984,30.14648926,-3.790410156,-4.348510742,3.790410156,4.348510742,138.84,37.44,136.72,37.22,5.6,10,189.03,Niigata Basin
83,acNIG0192401021017,NIG019,2024-01-02 10:17:00,training,26.685,29.82629395,28.59463867,3.141293945,1.909638672,3.141293945,1.909638672,138.81,37.3,136.72,37.22,5.6,10,185.17,Niigata Basin
84,acNGN0042401031054,NGN004,2024-01-03 10:54:00,holdout_evaluation,34.06300049,21.79924561,24.3907251,-12.26375488,-9.672275391,12.26375488,9.672275391,138.19,36.65,136.87,37.37,5.6,13,141.94,Niigata Basin
85,acNIG0112401031054,NIG011,2024-01-03 10:54:00,training,28.39899902,27.87854004,28.79087402,-0.520458984,0.391875,0.520458984,0.391875,139.15,37.8,136.87,37.37,5.6,13,206.51,Niigata Basin
86,acNIG0142401031054,NIG014,2024-01-03 10:54:00,training,23.77699951,24.33087402,23.94864502,0.553874512,0.171645508,0.553874512,0.171645508,138.96,37.64,136.87,37.37,5.6,13,186.79,Niigata Basin
87,acNIG0162401031054,NIG016,2024-01-03 10:54:00,training,21.37699951,23.13481445,24.11817383,1.757814941,2.741174316,1.757814941,2.741174316,138.77,37.65,136.87,37.37,5.6,13,170.45,Niigata Basin
88,acNIG0172401031054,NIG017,2024-01-03 10:54:00,holdout_evaluation,20.66600098,29.05022461,25.15867065,8.384223633,4.492669678,8.384223633,4.492669678,138.84,37.44,136.87,37.37,5.6,13,174.18,Niigata Basin
89,acNIG0192401031054,NIG019,2024-01-03 10:54:00,holdout_evaluation,24.46100098,25.78560059,25.92838745,1.324599609,1.467386475,1.324599609,1.467386475,138.81,37.3,136.87,37.37,5.6,13,171.69,Niigata Basin
90,acNIG0212401031054,NIG021,2024-01-03 10:54:00,training,21.28800049,21.78385498,26.63804443,0.495854492,5.350043945,0.495854492,5.350043945,138.78,37.2,136.87,37.37,5.6,13,170.03,Niigata Basin
91,acNIG0242401031054,NIG024,2024-01-03 10:54:00,training,16.66599976,18.9400708,20.10233887,2.274071045,3.436339111,2.274071045,3.436339111,138.44,37.13,136.87,37.37,5.6,13,141.5,Niigata Basin
92,acNIG0262401031054,NIG026,2024-01-03 10:54:00,training,14.84,15.53533569,13.94435303,0.695335693,-0.895646973,0.695335693,0.895646973,138.25,37.02,136.87,37.37,5.6,13,128.28,Niigata Basin
93,acNIG0282401031054,NIG028,2024-01-03 10:54:00,training,18.17699951,19.01637817,21.67411377,0.839378662,3.497114258,0.839378662,3.497114258,138.89,37.43,136.87,37.37,5.6,13,178.56,Niigata Basin
94,acNIGH182401031054,NIGH18,2024-01-03 10:54:00,training,45.455,41.82533203,46.66712402,-3.629667969,1.212124023,3.629667969,1.212124023,138.26,36.94,136.87,37.37,5.6,13,132.14,Niigata Basin
95,acNGN0012401031254,NGN001,2024-01-03 12:54:00,holdout_evaluation,20.16300049,15.91883057,23.41362305,-4.244169922,3.250622559,4.244169922,3.250622559,138.37,36.85,137.61,37.65,5.0,23,111.53,Niigata Basin
96,acNIG0152401031254,NIG015,2024-01-03 12:54:00,training,25.23699951,24.53719727,25.63972656,-0.699802246,0.402727051,0.699802246,0.402727051,139.19,37.69,137.61,37.65,5.0,23,139.13,Niigata Basin
97,acNIG0192401031254,NIG019,2024-01-03 12:54:00,training,18.91699951,20.55701172,20.73570435,1.640012207,1.818704834,1.640012207,1.818704834,138.81,37.3,137.61,37.65,5.0,23,112.82,Niigata Basin
98,acNIG0242401031254,NIG024,2024-01-03 12:54:00,training,20.34099976,20.09597534,21.58038818,-0.245024414,1.239388428,0.245024414,1.239388428,138.44,37.13,137.61,37.65,5.0,23,93.38,Niigata Basin
99,acNIG0282401031254,NIG028,2024-01-03 12:54:00,holdout_evaluation,29.18800049,24.9442041,24.13454346,-4.243796387,-5.053457031,4.243796387,5.053457031,138.89,37.43,137.61,37.65,5.0,23,115.48,Niigata Basin
100,acNGN0012402070608,NGN001,2024-02-07 06:08:00,training,18.26599976,15.30061646,17.70432617,-2.965383301,-0.561673584,2.965383301,0.561673584,138.37,36.85,137.58,37.73,5.2,20,120.24,Niigata Basin
101,acNIG0092402070608,NIG009,2024-02-07 06:08:00,training,24.63,18.91767578,23.59147949,-5.712324219,-1.038520508,5.712324219,1.038520508,139.34,37.95,137.58,37.73,5.2,20,156.47,Niigata Basin
102,acNIG0172402070608,NIG017,2024-02-07 06:08:00,training,39.18300049,37.75798828,38.32854248,-1.425012207,-0.854458008,1.425012207,0.854458008,138.84,37.44,137.58,37.73,5.2,20,115.61,Niigata Basin
103,acNGN0020410231756,NGN002,2004-10-23 17:56:00,training,35.06199951,38.598396,34.43133057,3.536396484,-0.630668945,3.536396484,0.630668945,138.21,36.81,138.87,37.29,6.8,13,79.24,Niigata Basin
104,acNGN0040410231756,NGN004,2004-10-23 17:56:00,training,42.98299805,40.79331543,41.59808838,-2.189682617,-1.384909668,2.189682617,1.384909668,138.19,36.65,138.87,37.29,6.8,13,93.35,Niigata Basin
105,acNGN0060410231756,NGN006,2004-10-23 17:56:00,training,34.76699951,34.09815918,38.65444824,-0.668840332,3.88744873,0.668840332,3.88744873,137.85,36.51,138.87,37.29,6.8,13,125.49,Niigata Basin
106,acNIG0100410231756,NIG010,2004-10-23 17:56:00,training,35.46199951,34.26393066,36.55895996,-1.198068848,1.096960449,1.198068848,1.096960449,139.01,37.91,138.87,37.29,6.8,13,70.04,Niigata Basin
107,acNIG0150410231756,NIG015,2004-10-23 17:56:00,training,29.355,29.43976074,30.27452393,0.084760742,0.919523926,0.084760742,0.919523926,139.19,37.69,138.87,37.29,6.8,13,52.68,Niigata Basin
108,acNIG0160410231756,NIG016,2004-10-23 17:56:00,training,32.715,28.24608154,32.00305664,-4.468918457,-0.711943359,4.468918457,0.711943359,138.77,37.65,138.87,37.29,6.8,13,40.99,Niigata Basin
109,acNIG0230410231756,NIG023,2004-10-23 17:56:00,training,28.24600098,23.02458008,28.36157715,-5.221420898,0.115576172,5.221420898,0.115576172,138.65,37.01,138.87,37.29,6.8,13,36.74,Niigata Basin
110,acNGN0010410231803,NGN001,2004-10-23 18:03:00,training,33.22199951,34.02609619,33.94620483,0.80409668,0.724205322,0.80409668,0.724205322,138.37,36.85,138.98,37.75,6.3,9,113.69,Niigata Basin
111,acNGN0020410231803,NGN002,2004-10-23 18:03:00,holdout_evaluation,36.28300049,36.40513916,36.57824463,0.122138672,0.295244141,0.122138672,0.295244141,138.21,36.81,138.98,37.75,6.3,9,124.76,Niigata Basin
112,acNGN0040410231803,NGN004,2004-10-23 18:03:00,training,33.75199951,34.84062988,36.88449707,1.088630371,3.132497559,1.088630371,3.132497559,138.19,36.65,138.98,37.75,6.3,9,140.91,Niigata Basin
113,acNIG0100410231803,NIG010,2004-10-23 18:03:00,training,38.39800049,36.76723145,36.09716309,-1.630769043,-2.300837402,1.630769043,2.300837402,139.01,37.91,138.98,37.75,6.3,9,17.99,Niigata Basin
114,acNIG0130410231803,NIG013,2004-10-23 18:03:00,training,37.18300049,31.82421631,37.56988037,-5.35878418,0.386879883,5.35878418,0.386879883,138.88,37.76,138.98,37.75,6.3,9,8.86,Niigata Basin
115,acNIG0140410231803,NIG014,2004-10-23 18:03:00,holdout_evaluation,28.72,28.79927246,26.69910645,0.079272461,-2.020893555,0.079272461,2.020893555,138.96,37.64,138.98,37.75,6.3,9,12.36,Niigata Basin
116,acNIG0150410231803,NIG015,2004-10-23 18:03:00,training,27.47,26.48178711,30.10727783,-0.988212891,2.637277832,0.988212891,2.637277832,139.19,37.69,138.98,37.75,6.3,9,19.64,Niigata Basin
117,acNIG0250410231803,NIG025,2004-10-23 18:03:00,training,47.90600098,41.60092773,39.04337402,-6.305073242,-8.862626953,6.305073242,8.862626953,138.22,37.16,138.98,37.75,6.3,9,93.83,Niigata Basin
118,acNGN0040410231812,NGN004,2004-10-23 18:12:00,training,34.82899902,35.61263428,37.95656494,0.783635254,3.127565918,0.783635254,3.127565918,138.19,36.65,138.83,37.25,6.0,12,87.67,Niigata Basin
119,acNGN0060410231812,NGN006,2004-10-23 18:12:00,training,33.98100098,32.84263428,35.14860352,-1.138366699,1.167602539,1.138366699,1.167602539,137.85,36.51,138.83,37.25,6.0,12,119.87,Niigata Basin
120,acNIG0100410231812,NIG010,2004-10-23 18:12:00,training,36.05699951,33.71177246,35.11756348,-2.345227051,-0.939436035,2.345227051,0.939436035,139.01,37.91,138.83,37.25,6.0,12,75.08,Niigata Basin
121,acNGN0020410231834,NGN002,2004-10-23 18:34:00,training,33.50699951,32.91107422,33.92743408,-0.595925293,0.42043457,0.595925293,0.42043457,138.21,36.81,138.93,37.31,6.5,14,84.69,Niigata Basin
122,acNGN0040410231834,NGN004,2004-10-23 18:34:00,training,34.07800049,34.10286133,34.4313562,0.02486084,0.353355713,0.02486084,0.353355713,138.19,36.65,138.93,37.31,6.5,14,98.52,Niigata Basin
123,acNGN0050410231834,NGN005,2004-10-23 18:34:00,holdout_evaluation,34.36300049,33.16532959,37.21047119,-1.197670898,2.847470703,1.197670898,2.847470703,137.86,36.7,138.93,37.31,6.5,14,116.74,Niigata Basin
